#SA  FB
0.29594     0.30372     
0.30331     0.30399     
0.29922     0.30375     
0.30195     0.30386     
0.29963     0.30389     
0.3041      0.30395     
0.30273     0.30377     
0.2994      0.30389     
0.30428     0.30387     
0.30096     0.30393     
0.30258     0.30384     
0.3036      0.3039      
0.30361     0.3039      
0.30465     0.30384     
0.30122     0.30378     
0.30471     0.30374     
0.30502     0.30386     
0.3001      0.30372     
0.30532     0.30374     
0.29861     0.30386     
0.30862     0.3038      
0.30114     0.30384     
0.30392     0.3038      
0.30801     0.3038      
0.30131     0.30384     
0.30222     0.30372     
0.30168     0.30377     
0.3003      0.3037      
0.30262     0.30374     
0.30245     0.30383     
0.30132     0.30374     
0.30442     0.30386     
0.3025      0.30386     
0.30522     0.3038      
0.30383     0.30374     
0.30251     0.30378     
0.30238     0.30366     
0.3045      0.30384     
0.30178     0.30386     
0.30377     0.30383     
0.30697     0.30381     
0.30525     0.30378     
0.30409     0.30374     
0.30595     0.30377     
0.3056      0.30381     
0.30247     0.3037      
0.30322     0.30374     
0.30146     0.30367     
0.30135     0.30372     
0.30485     0.30374     
0.30044     0.30363     
0.30305     0.30375     
0.30108     0.30367     
0.30535     0.30364     
0.30364     0.30374     
0.29992     0.30381     
0.3041      0.30361     
0.29778     0.30375     
0.30332     0.30366     
0.29823     0.30375     
0.30497     0.30374     
0.30279     0.30374     
0.30232     0.3036      
0.30317     0.30367     
0.29887     0.30374     
0.3019      0.30367     
0.30273     0.30366     
0.30392     0.30377     
0.30314     0.3037      
0.30146     0.30363     
0.30296     0.30377     
0.3039      0.30372     
0.3041      0.30367     
0.30056     0.30374     
0.30364     0.3037      
0.30023     0.30369     
0.30361     0.30375     
0.30172     0.30361     
0.30163     0.30363     
0.30021     0.3037      
0.29905     0.30387     
0.30232     0.30377     
0.30123     0.3037      
0.30258     0.30383     
0.29676     0.30386     
0.30229     0.30378     
0.30096     0.3038      
0.30143     0.3038      
0.30341     0.30381     
0.30114     0.30378     
0.30465     0.30377     
0.30114     0.30377     
0.3039      0.30369     
0.30491     0.30378     
0.30416     0.30367     
0.29829     0.30377     
0.30201     0.30367     
0.30004     0.30377     
0.29913     0.30374     
0.30198     0.30384     
0.29864     0.30372     
0.30164     0.30387     
0.30082     0.30364     
0.30322     0.30375     
0.3018      0.30383     
0.29966     0.3038      
0.30354     0.30366     
0.30148     0.30374     
0.3034      0.30378     
0.30305     0.30384     
0.30259     0.3038      
0.2996      0.30369     
0.30773     0.30381     
0.3027      0.30375     
0.30082     0.30381     
0.30634     0.30377     
0.30251     0.30377     
0.3074      0.30389     
0.30294     0.30377     
0.30207     0.30374     
0.30091     0.30374     
0.30071     0.30367     
0.30225     0.30377     
0.30062     0.30378     
0.30097     0.30378     
0.30204     0.30383     
0.3054      0.30369     
0.30474     0.30377     
0.30499     0.30367     
0.30322     0.30374     
0.30244     0.30374     
0.29995     0.3038      
0.30146     0.30383     
0.30433     0.30383     
0.30296     0.3038      
0.30227     0.30372     
0.3005      0.30377     
0.29955     0.30375     
0.30572     0.30378     
0.30171     0.30372     
0.30271     0.30389     
0.30129     0.30378     
0.30436     0.30372     
0.30322     0.30398     
0.30088     0.30383     
0.3         0.30392     
0.30125     0.30377     
0.30471     0.30377     
0.30438     0.30377     
0.30224     0.3039      
0.30032     0.30383     
0.30485     0.30387     
0.30041     0.30396     
0.30303     0.30384     
0.30047     0.30393     
0.30503     0.3038      
0.305       0.30378     
0.30551     0.30375     
0.30265     0.30387     
0.30514     0.30372     
0.30142     0.3039      
0.30068     0.30381     
0.30433     0.30374     
0.30044     0.30386     
0.30424     0.30383     
0.3021      0.30377     
0.30406     0.30383     
0.29975     0.30377     
