#SA  FB
0.29246     0.30389     
0.2907      0.30372     
0.29734     0.30378     
0.29133     0.3037      
0.29559     0.30367     
0.29392     0.30377     
0.2951      0.30374     
0.2954      0.30374     
0.29569     0.3036      
0.2976      0.30364     
0.29867     0.30354     
0.29948     0.30374     
0.29908     0.30355     
0.30665     0.30354     
0.30502     0.30358     
0.30529     0.30361     
0.30493     0.30361     
0.30602     0.30351     
0.30879     0.30358     
0.30634     0.30367     
0.30627     0.30361     
0.31103     0.30358     
0.30962     0.30367     
0.30946     0.30366     
0.31208     0.30374     
0.30999     0.30366     
0.30567     0.30367     
0.31338     0.30374     
0.3102      0.3038      
0.31143     0.30378     
0.30679     0.30389     
0.30708     0.3038      
0.3061      0.30387     
0.3072      0.30392     
0.30653     0.30407     
0.31107     0.30393     
0.30633     0.30396     
0.30271     0.30384     
0.30183     0.3039      
0.30303     0.30398     
0.30132     0.30395     
0.29995     0.30389     
0.296       0.30401     
0.29675     0.30393     
0.29559     0.30383     
0.29601     0.30386     
0.29192     0.30384     
0.29626     0.3039      
0.29435     0.30383     
0.29241     0.30378     
0.29231     0.3037      
0.30003     0.30386     
0.29345     0.30374     
0.29617     0.30377     
0.29565     0.30375     
0.29208     0.3038      
0.29598     0.3037      
0.29768     0.30377     
0.29485     0.30378     
0.29907     0.30372     
0.29995     0.30374     
0.3019      0.30364     
0.29751     0.30375     
0.30305     0.30372     
0.30407     0.30363     
0.3065      0.30369     
0.30608     0.30369     
0.30285     0.30363     
0.3063      0.30377     
0.30947     0.30374     
0.30917     0.30372     
0.30699     0.30381     
0.31288     0.3037      
0.30927     0.30381     
0.3103      0.30377     
0.31082     0.30387     
0.31291     0.30387     
0.30987     0.30386     
0.30625     0.30395     
0.31053     0.30384     
0.30949     0.30387     
0.31043     0.30387     
0.3077      0.30404     
0.30572     0.30393     
0.30192     0.30407     
0.30853     0.30396     
0.30381     0.30395     
0.30134     0.30393     
0.30438     0.30396     
0.29797     0.30404     
0.29717     0.30407     
0.30222     0.30398     
0.29856     0.30404     
0.29554     0.30393     
0.29939     0.30381     
0.29756     0.30383     
0.29192     0.30383     
0.2994      0.3039      
0.29615     0.30392     
0.29249     0.30383     
0.29612     0.30387     
0.29794     0.30381     
0.29159     0.30372     
0.29751     0.30367     
0.29723     0.30355     
0.29479     0.30358     
0.29579     0.30366     
0.29533     0.30369     
0.30038     0.30361     
0.29876     0.30374     
0.29785     0.30366     
0.29823     0.30374     
0.30132     0.30374     
0.30352     0.30367     
0.30015     0.30367     
0.30372     0.30383     
0.30601     0.3037      
0.30462     0.30375     
0.3056      0.3037      
0.30923     0.30377     
0.30879     0.30378     
0.30842     0.30386     
0.31129     0.30377     
0.30769     0.30384     
0.31077     0.30387     
0.3142      0.30383     
0.31266     0.3039      
0.31185     0.30395     
0.3102      0.30389     
0.30911     0.30387     
0.3115      0.30398     
0.31092     0.30407     
0.31257     0.30409     
0.30833     0.30389     
0.3093      0.30404     
0.30439     0.30412     
0.30467     0.30398     
0.30294     0.30407     
0.30454     0.30395     
0.30204     0.30412     
0.30236     0.30407     
0.29882     0.30399     
0.29839     0.30398     
0.29759     0.30396     
0.2949      0.30404     
0.29434     0.30398     
0.29347     0.30399     
0.29673     0.30407     
0.29334     0.30393     
0.29063     0.30392     
0.29476     0.30386     
0.29431     0.3038      
0.29691     0.30384     
0.29011     0.30383     
