# Freq.    Re    Im
3924.14    16.9728    59.6307   
3981.02    16.9343    60.6058   
4038.73    16.8904    61.5954   
4097.27    16.8411    62.5996   
4156.66    16.7861    63.6185   
4216.91    16.7253    64.6525   
4278.04    16.6391    65.6516   
4340.05    16.5468    66.6643   
4402.96    16.4481    67.691    
4466.78    16.3428    68.7317   
4531.53    16.2309    69.7867   
4597.21    16.1564    70.6195   
4663.85    16.078     71.4613   
4731.45    15.9957    72.3121   
4800.04    15.9093    73.172    
4869.61    15.8189    74.0411   
4940.2     15.9031    75.3351   
5011.81    15.9855    76.6512   
5084.46    16.0661    77.9898   
5158.16    16.1447    79.3513   
5232.92    16.2212    80.7361   
5308.78    16.1196    81.9459   
5385.73    16.0116    83.1724   
5463.8     15.8971    84.4159   
5542.99    15.7758    85.6765   
5623.34    15.6477    86.9544   
5704.85    15.7652    88.3137   
5787.55    15.8827    89.6939   
5871.44    16         91.0956   
5956.54    16.117     92.519    
6042.89    16.234     93.9644   
6130.48    16.0941    95.2607   
6219.34    15.9474    96.5735   
6309.49    15.794     97.903    
6400.95    15.6335    99.2494   
6493.73    15.4658    100.613   
6587.86    15.2392    102.121   
6683.35    15.0025    103.65    
6780.23    14.7557    105.199   
6878.51    14.4985    106.769   
6978.22    14.2306    108.361   
7079.37    13.9783    110.237   
7181.98    13.7134    112.142   
7286.09    13.4353    114.079   
7391.7     13.1439    116.046   
7498.85    12.8388    118.046   
7607.54    12.8274    119.714   
7717.82    12.8131    121.406   
7829.69    12.7959    123.121   
7943.18    12.7757    124.86    
8058.32    12.7524    126.623   
8175.13    12.7266    128.629   
8293.63    12.6967    130.665   
8413.84    12.6628    132.734   
8535.8     12.6246    134.835   
8659.53    12.5822    136.969   
8785.05    12.7233    138.908   
8912.39    12.866     140.875   
9041.58    13.0102    142.87    
9172.64    13.1559    144.894   
9305.6     13.3031    146.946   
9440.49    13.3304    149.347   
9577.33    13.355     151.787   
9716.15    13.377     154.267   
9856.99    13.3961    156.787   
9999.87    13.4123    159.348   
10144.8    13.1788    161.802   
10291.9    12.9351    164.292   
10441.1    12.6808    166.82    
10592.4    12.4157    169.386   
10745.9    12.1396    171.99    
10901.7    11.8629    175       
11059.7    11.5729    178.062   
11220      11.2691    181.177   
11382.7    10.9513    184.344   
11547.7    10.619     187.565   
11715.1    10.7707    189.938   
11884.9    10.9245    192.34    
12057.1    11.0805    194.774   
12231.9    11.2387    197.237   
12409.2    11.3991    199.732   
12589.1    11.0153    202.948   
12771.6    10.6164    206.214   
12956.7    10.2018    209.531   
13144.5    9.77119    212.9     
13335      9.32418    216.321   
13528.3    9.34681    220.026   
13724.4    9.36749    223.794   
13923.4    9.38613    227.627   
14125.2    9.40268    231.525   
14329.9    9.41704    235.49    
14537.7    9.63308    238.995   
14748.4    9.85346    242.551   
14962.2    10.0783    246.161   
15179      10.3076    249.824   
15399.1    10.5415    253.542   
15622.3    10.5107    258.609   
15848.7    10.4744    263.777   
16078.5    10.4325    269.048   
16311.5    10.3848    274.424   
16548      10.3309    279.908   
16787.8    9.99043    283.476   
17031.2    9.63959    287.088   
17278      9.27822    290.747   
17528.5    8.9061     294.45    
17782.6    8.52302    298.201   
18040.3    8.85007    303.326   
18301.8    9.18584    308.539   
18567.1    9.53054    313.842   
18836.2    9.88439    319.236   
19109.3    10.2476    324.723   
19386.3    9.04447    331.235   
19667.3    7.78914    337.871   
19952.4    6.48005    344.635   
20241.6    5.11557    351.527   
20535      3.69402    358.551   
20832.6    5.7253     364.763   
21134.6    7.82597    371.073   
21441      9.99778    377.48    
21751.8    12.2425    383.987   
22067.1    14.5619    390.595   
22386.9    16.9964    403.234   
22711.4    19.5736    416.271   
23040.6    22.3001    429.719   
23374.6    25.1829    443.592   
23713.4    28.2291    457.902   
24057.2    28.7053    467.158   
24405.9    29.1892    476.602   
24759.6    29.6809    486.237   
25118.5    30.1806    496.066   
25482.6    30.6885    506.094   
25852      54.5297    500.84    
26226.7    77.9424    494.492   
26606.9    100.878    487.077   
26992.6    123.288    478.628   
27383.8    145.129    469.176   
27780.8    128.264    488.672   
28183.5    110.063    507.959   
28592      90.4968    526.97    
29006.4    69.5406    545.639   
29426.9    47.1707    563.892   
29853.4    52.9919    573.646   
30286.2    59.004     583.525   
30725.2    65.2116    593.528   
31170.5    71.6194    603.658   
31622.4    78.2319    613.913   
32080.7    70.4151    625.13    
32545.8    62.3041    636.415   
33017.5    53.8929    647.765   
33496.1    45.1756    659.176   
33981.6    36.1466    670.645   
34474.2    39.7397    679.774   
34973.9    43.4247    689.013   
35480.9    47.2034    698.363   
35995.2    51.0776    707.826   
36516.9    55.0491    717.402   
37046.3    82.5417    727.139   
37583.3    110.847    736.017   
38128      139.945    743.992   
38680.7    169.817    751.02    
39241.4    200.44     757.056   
39810.2    209.168    782.141   
40387.3    218.256    808.053   
40972.7    227.718    834.817   
41566.6    237.57     862.462   
42169.1    247.825    891.016   
42780.4    278.721    912.131   
43400.5    311.124    933.094   
44029.6    345.077    953.862   
44667.8    380.621    974.386   
45315.3    417.8      994.619   
45972.1    452.531    1019.22   
46638.5    488.937    1043.92   
47314.5    527.077    1068.69   
48000.4    567.012    1093.49   
48696.1    608.801    1118.29   
49402      528.765    1152.79   
50118.1    446.878    1181.62   
50844.6    363.538    1204.68   
51581.6    279.148    1221.93   
52329.2    194.11     1233.31   
53087.8    327.759    1184.54   
53857.3    453.021    1121.89   
54638      568.528    1046.61   
55429.9    673.083    960.064   
56233.4    765.665    863.729   
57048.5    768.5      872.03    
57875.5    771.33     880.397   
58714.4    774.155    888.832   
59565.4    776.976    897.334   
60428.9    779.791    905.903   
61304.8    800.79     898.004   
62193.4    821.785    889.684   
63094.9    842.769    880.94    
64009.5    863.735    871.77    
64937.3    884.674    862.17    
65878.6    907.804    856.42    
66833.5    931.074    850.232   
67802.3    954.48     843.599   
68785.1    978.014    836.515   
69782.2    1001.67    828.974   
70793.7    935.745    819.141   
71819.8    872.971    807.992   
72860.9    813.248    795.669   
73917      756.472    782.304   
74988.5    702.542    768.02    
76075.4    755.757    741.677   
77178.2    808.372    712       
78296.9    860.193    678.97    
79431.8    911.025    642.576   
80583.2    960.666    602.82    
81751.3    965.72     611.836   
82936.3    970.776    620.947   
84138.4    975.832    630.152   
85358      980.888    639.453   
86595.3    985.944    648.851   
87850.5    931.499    670.701   
89123.9    877.706    689.71    
90415.8    824.662    705.983   
91726.4    772.458    719.629   
93056      721.178    730.758   
94404.9    769.011    711.001   
95773.3    816.833    688.636   
97161.5    864.521    663.613   
98569.9    911.948    635.888   
99998.7    958.984    605.421   
