# Freq.    Re    Im
33.3038    -0.371276  -0.248809 
33.4961    -0.371356  -0.250215 
33.6894    -0.371432  -0.251624 
33.8839    -0.371505  -0.253036 
34.0795    -0.371575  -0.25445  
34.2763    -0.371641  -0.255867 
34.4742    -0.371703  -0.257287 
34.6732    -0.371608  -0.258613 
34.8734    -0.37151   -0.25994  
35.0747    -0.371408  -0.261269 
35.2772    -0.371302  -0.262599 
35.4808    -0.371194  -0.263932 
35.6857    -0.371081  -0.265265 
35.8917    -0.370965  -0.266601 
36.0989    -0.370846  -0.267939 
36.3073    -0.370723  -0.269278 
36.5169    -0.370596  -0.270619 
36.7277    -0.370653  -0.272246 
36.9397    -0.370706  -0.273878 
37.153     -0.370754  -0.275513 
37.3675    -0.370798  -0.277151 
37.5832    -0.370838  -0.278794 
37.8002    -0.370873  -0.28044  
38.0184    -0.370904  -0.28209  
38.2379    -0.37093   -0.283743 
38.4586    -0.370951  -0.285401 
38.6807    -0.370968  -0.287062 
38.904     -0.370861  -0.28859  
39.1286    -0.370749  -0.29012  
39.3544    -0.370632  -0.291653 
39.5816    -0.370512  -0.293188 
39.8101    -0.370387  -0.294726 
40.04      -0.370257  -0.296266 
40.2711    -0.370123  -0.297809 
40.5036    -0.369985  -0.299354 
40.7374    -0.369842  -0.300901 
40.9726    -0.369695  -0.302452 
41.2092    -0.369711  -0.304192 
41.4471    -0.369723  -0.305936 
41.6863    -0.369729  -0.307684 
41.927     -0.36973   -0.309436 
42.169     -0.369727  -0.311193 
42.4125    -0.369718  -0.312953 
42.6573    -0.369705  -0.314717 
42.9036    -0.369686  -0.316486 
43.1513    -0.369663  -0.318259 
43.4004    -0.369635  -0.320036 
43.651     -0.369638  -0.321919 
43.903     -0.369636  -0.323807 
44.1564    -0.369629  -0.3257   
44.4113    -0.369615  -0.327598 
44.6677    -0.369597  -0.3295   
44.9256    -0.369572  -0.331407 
45.1849    -0.369542  -0.333319 
45.4458    -0.369507  -0.335235 
45.7082    -0.369466  -0.337157 
45.972     -0.369419  -0.339083 
46.2374    -0.369366  -0.341014 
46.5044    -0.369266  -0.342943 
46.7728    -0.36916   -0.344878 
47.0429    -0.369048  -0.346817 
47.3144    -0.36893   -0.34876  
47.5876    -0.368806  -0.350707 
47.8623    -0.368677  -0.352659 
48.1386    -0.36854   -0.354616 
48.4165    -0.368398  -0.356577 
48.696     -0.36825   -0.358542 
48.9772    -0.368095  -0.360511 
49.2599    -0.368025  -0.362441 
49.5443    -0.367949  -0.364375 
49.8303    -0.367868  -0.366315 
50.118     -0.367782  -0.368258 
50.4073    -0.367689  -0.370207 
50.6983    -0.367592  -0.37216  
50.991     -0.367488  -0.374118 
51.2854    -0.367379  -0.37608  
51.5815    -0.367264  -0.378047 
51.8793    -0.367143  -0.380019 
52.1788    -0.367017  -0.381995 
52.48      -0.367089  -0.384198 
52.783     -0.367155  -0.386408 
53.0877    -0.367215  -0.388624 
53.3942    -0.36727   -0.390848 
53.7024    -0.367318  -0.393079 
54.0124    -0.36736   -0.395317 
54.3242    -0.367396  -0.397562 
54.6379    -0.367426  -0.399813 
54.9533    -0.36745   -0.402072 
55.2705    -0.367467  -0.404338 
55.5896    -0.367471  -0.406604 
55.9105    -0.367469  -0.408877 
56.2333    -0.367461  -0.411157 
56.558     -0.367446  -0.413444 
56.8845    -0.367425  -0.415738 
57.2129    -0.367397  -0.418038 
57.5432    -0.367363  -0.420346 
57.8754    -0.367322  -0.422661 
58.2095    -0.367275  -0.424983 
58.5455    -0.367221  -0.427312 
58.8835    -0.367001  -0.429678 
59.2234    -0.366772  -0.432051 
59.5654    -0.366536  -0.434429 
59.9092    -0.366292  -0.436814 
60.2551    -0.366039  -0.439205 
60.6029    -0.365779  -0.441602 
60.9528    -0.365511  -0.444006 
61.3047    -0.365235  -0.446416 
61.6586    -0.36495   -0.448832 
62.0146    -0.364658  -0.451254 
62.3726    -0.364357  -0.453682 
62.7327    -0.364233  -0.456452 
63.0948    -0.364099  -0.459232 
63.4591    -0.363957  -0.46202  
63.8254    -0.363805  -0.464819 
64.1939    -0.363644  -0.467627 
64.5645    -0.363473  -0.470444 
64.9372    -0.363293  -0.473271 
65.3121    -0.363103  -0.476108 
65.6892    -0.362904  -0.478954 
66.0684    -0.362695  -0.48181  
66.4498    -0.362552  -0.484435 
66.8334    -0.362401  -0.487069 
67.2193    -0.362242  -0.489711 
67.6073    -0.362075  -0.492362 
67.9976    -0.3619    -0.49502  
68.3902    -0.361717  -0.497687 
68.785     -0.361526  -0.500363 
69.1821    -0.361327  -0.503047 
69.5815    -0.36112   -0.505739 
69.9832    -0.360904  -0.50844  
70.3872    -0.360693  -0.511357 
70.7935    -0.360473  -0.514283 
71.2022    -0.360243  -0.51722  
71.6133    -0.360003  -0.520166 
72.0267    -0.359754  -0.523123 
72.4425    -0.359495  -0.52609  
72.8608    -0.359226  -0.529066 
73.2814    -0.358947  -0.532052 
73.7044    -0.358659  -0.535049 
74.1299    -0.35836   -0.538055 
74.5579    -0.358085  -0.541029 
74.9883    -0.357801  -0.544013 
75.4212    -0.357507  -0.547006 
75.8566    -0.357203  -0.55001  
76.2946    -0.356889  -0.553024 
76.735     -0.356565  -0.556048 
